iter	Passed	Remaining
0	0	95
1	1	88
2	2	92
3	3	81
4	4	79
5	4	76
6	5	74
7	6	74
8	7	73
9	8	72
10	8	72
11	12	89
12	13	89
13	14	90
14	16	91
15	18	99
16	19	97
17	20	94
18	21	91
19	22	89
20	23	86
21	23	84
22	26	89
23	29	93
24	30	91
25	31	90
26	33	90
27	35	90
28	36	88
29	37	86
30	38	85
31	39	83
32	40	81
33	40	79
34	41	77
35	42	75
36	42	73
37	43	71
38	44	69
39	45	67
40	46	67
41	46	64
42	47	63
43	48	61
44	49	60
45	49	58
46	50	57
47	51	55
48	52	54
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	57	45
56	58	44
57	59	42
58	60	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	65	33
66	66	32
67	67	31
68	68	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	74	22
77	75	21
78	76	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	81	13
86	82	12
87	83	11
88	84	10
89	84	9
90	85	8
91	86	7
92	87	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	91	0
99	92	0
